GEOID,MedianRent,OwnerOccupiedHousingUnits,RentedOccupiedHousingUnits,Pop_under_5_years,Pop_above_65_years,Avg_Household_Size,Total_Workforce,Female_Workforce,Total_housing_units,Single_household_units,Total_population,Income_below_poverty_line,Average_Renter_Household_Size,Rented_Occupied_Housing_Units,Population_that_rents,Percent_mobile_homes,BldgPerMile,No schooling completed,Employed_Laborforces,Property Value per Capita,FireStationAccessibility,HospitalAccessibility,PoliceStationAccessibility,NoFuelUsed
481677257001,1211,351,157,81,318,3,542,235,508,112,1350,187,4,157,569,0,4156.840503,26,542,133,2501.558725,10050.8887,29257870.92,0
481677257002,1159,339,88,119,268,3,514,296,427,89,1078,33,2,88,198,4,331.7340291,9,514,168,1899.456395,10756.19871,34915719.38,0
481677258001,862,87,259,14,49,2,288,138,346,100,823,191,2,259,563,0,210.2755639,39,288,119,2338.584688,9869.687463,24467543.89,0
481677258002,1123,131,168,124,47,3,264,84,299,73,846,320,2,168,412,0,601,33,264,115,2779.477736,8753.486067,16613038.31,0
481677258003,843,358,433,147,211,3,1016,597,791,200,2012,377,2,433,910,0,"2,389",15,1016,93,4001.66175,10313.22365,25302016.3,12
481677259001,823,216,279,16,218,2,458,202,495,221,977,240,2,279,603,0,"2,300",14,458,302,4350.164251,12586.28643,44936501.05,0
481677259002,879,51,868,24,138,1,815,310,919,584,1332,230,1,868,1224,0,2742.647059,0,815,175,4424.901339,13167.71552,65108021.34,9
481677260001,1176,323,90,12,201,2,507,241,413,126,931,46,2,90,214,0,3434.958264,0,507,209,6723.689733,16725.77817,104306595.1,0
481677260002,694,205,37,5,75,2,313,165,242,97,494,15,3,37,106,0,"4,856",0,313,465,8079.480777,19909.12626,142128270,4
481677261001,897,599,153,0,497,2,780,317,752,279,1462,62,2,153,247,0,3716.545551,0,780,158,4877.708985,24743.46523,257631325.7,0
481677261002,0,435,31,0,196,2,380,131,466,194,773,112,0,31,0,0,4838.638406,0,380,332,7214.988118,36517.83001,53082595.68,7
481679900000,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,,0,0,#N/A,3933.506295,11739.99556,,
