GEOID,MedianRent,OwnerOccupiedHousingUnits,RentedOccupiedHousingUnits,Pop_under_5_years,Pop_above_65_years,BldgPerMile,Total_Workforce,Female_Workforce,Total_housing_units,Single_household_units,Total_population,Income_below_poverty_line,Average_Renter_Household_Size,Rented_Occupied_Housing_Units,Percent_mobile_homes,No schooling completed,Employed_Laborforces,Property Value per Capita,FireStationAccessibility,HospitalAccessibility,PoliceStationAccessibility,NoFuelUsed,Avg_Household_Size
4.81677E+11,873,57,536,57,139,934,650,268,593,290,1127,280,2,536,2,5,650,101,3760.278547,8408.974625,21458254.16,9,2
4.81677E+11,877,155,576,43,167,36,800,357,731,295,1374,290,2,576,0,19,800,92,3509.318095,9154.351691,22325692.19,7,2
4.81677E+11,934,51,334,43,71,183.1715923,389,214,385,148,905,348,3,334,0,0,389,117,3330.786674,9522.271612,30265998.95,0,2
4.81677E+11,1211,351,157,81,318,4156.840503,542,235,508,112,1350,187,4,157,0,26,542,133,2501.558725,10050.8887,29257870.92,0,3
4.81677E+11,1159,339,88,119,268,331.7340291,514,296,427,89,1078,33,2,88,4,9,514,168,1899.456395,10756.19871,34915719.38,0,3
4.81677E+11,862,87,259,14,49,210.2755639,288,138,346,100,823,191,2,259,0,39,288,119,2338.584688,9869.687463,24467543.89,0,2
4.81677E+11,1123,131,168,124,47,601,264,84,299,73,846,320,2,168,0,33,264,115,2779.477736,8753.486067,16613038.31,0,3
4.81677E+11,843,358,433,147,211,2389,1016,597,791,200,2012,377,2,433,0,15,1016,93,4001.66175,10313.22365,25302016.3,12,3
4.81677E+11,823,216,279,16,218,2300,458,202,495,221,977,240,2,279,0,14,458,302,4350.164251,12586.28643,44936501.05,0,2
4.81677E+11,879,51,868,24,138,2742.647059,815,310,919,584,1332,230,1,868,0,0,815,175,4424.901339,13167.71552,65108021.34,9,1
4.81677E+11,1176,323,90,12,201,3434.958264,507,241,413,126,931,46,2,90,0,0,507,209,6723.689733,16725.77817,104306595.1,0,2
4.81677E+11,694,205,37,5,75,4856,313,165,242,97,494,15,3,37,0,0,313,465,8079.480777,19909.12626,142128270,4,2
4.81677E+11,897,599,153,0,497,3716.545551,780,317,752,279,1462,62,2,153,0,0,780,158,4877.708985,24743.46523,257631325.7,0,2
4.81677E+11,0,435,31,0,196,4838.638406,380,131,466,194,773,112,0,31,0,0,380,332,7214.988118,36517.83001,53082595.68,7,2
